'gong'ye'xing'mei'gong 工业型煤工
'gong'ye'zi'dong'hua'yi'qi'yi'biao'yu'zhuang'zhi'xiu'li'gong 工业自动化仪器仪表与装置修理工
'gong'ye'zi'dong'hua'yi'qi'yi'biao'yu'zhuang'zhi'zhuang'pei'gong 工业自动化仪器仪表与装置装配工
'gong'yi'hua'zhi'zuo'gong 工艺画制作工
'gong'yi'pin'diao'ke'gong 工艺品雕刻工
'gong'yi'ran'zhi'zhi'zuo'gong 工艺染织制作工
'gong'ying'shi'hu'shi 供应室护士
'gong'yong'dian'gong'cheng'ji'shu'ren'yuan 供用电工程技术人员
'gong'zheng'yuan 公证员
'gu'jian'liu'li'gong 古建琉璃工
'gu'jian'zhu'jie'gou'shi'gong'gong 古建筑结构施工工
'gu'jian'zhu'zhuang'shi'gong 古建筑装饰工
'gu'jing'gong 固井工
'gu'jiu'shu'hua'xiu'fu'gong 古旧书画修复工
'gu'ti'fei'wu'chu'li'gong 固体废物处理工
'gu'ti'fei'wu'jian'ce'gong 固体废物监测工
'gu'ti'huo'jian'fa'dong'ji'jian'ce'gong 固体火箭发动机检测工
'gu'ti'huo'jian'fa'dong'ji'shi'yan'gong 固体火箭发动机试验工
'gu'ti'huo'jian'fa'dong'ji'zhuang'pei'gong 固体火箭发动机装配工
'gu'ti'tui'jin'ji'xing'neng'shi'yan'gong 固体推进剂性能试验工
'gua'gan'fu'kao'gong 挂杆复烤工
'guan'dao'jian'yan'gong 管道检验工
'guan'gai'shi'yan'gong 灌溉试验工
'guan'gong 管工
'guan'li'ke'xue'yan'jiu'ren'yuan 管理科学研究人员
'guan'pai'gong'cheng'gong 灌排工程工
'guan'qu'gong'shui'gong 灌区供水工
'guan'shang'dong'wu'si'yang'gong 观赏动物饲养工
'guan'xing'qi'jian'zhuang'pei'gong 惯性器件装配工
'guan'yue'qi'zhi'zuo'gong 管乐器制作工
'guang'bo'dian'shi'bian'bo'gong'cheng'ji'shu'ren'yuan 广播电视编播工程技术人员
'guang'bo'dian'shi'chuan'shu'fu'gai'gong'cheng'ji'shu'ren'yuan 广播电视传输覆盖工程技术人员
'guang'bo'dian'shi'tian'xian'gong 广播电视天线工
'guang'bo'shi'ting'she'bei'gong'cheng'ji'shu'ren'yuan 广播视听设备工程技术人员
'guang'bo'ying'shi'she'bei'jian'yan'gong 广播影视设备检验工
'guang'dian'huo'kong'gong'cheng'ji'shu'ren'yuan 光电火控工程技术人员
'guang'dian'yi'qi'yi'biao'yuan'zhuang'tiao'gong 光电仪器仪表元装调工
'guang'gao'she'ji'ren'yuan 广告设计人员
'guang'pan'fu'zhi'gong 光盘复制工
'guang'xue'ji'liang'gong 光学计量工
'gui'jin'shu'shou'shi'ji'zhi'gong 贵金属首饰机制工
'gui'jin'shu'shou'shi'shou'gong'zhi'zuo'gong 贵金属首饰手工制作工
'gui'jin'shu'zhi'lian'gong 贵金属治炼工
'gui'suan'yan'gong'cheng'ji'shu'ren'yuan 硅酸盐工程技术人员
'gui'ye'lian'gong 硅冶炼工
'guo'ji'shang'wu'ren'yuan 国际商务人员
'guo'jia'quan'li'ji'guan'ji'qi'gong'zuo'ji'gou'fu'ze'ren 国家权力机关及其工作机构负责人
'guo'jia'xing'zheng'ji'guan'ji'qi'gong'zuo'ji'gou'fu'ze'ren 国家行政机关及其工作机构负责人
'guo'lei'chan'pin'jia'gong'gong 果类产品加工工
'guo'lin'suan'gai'sheng'chan'gong 过磷酸钙生产工
'guo'lu'ben'ti'she'bei'jian'xiu'gong 锅炉本体设备检修工
'guo'lu'cao'zuo'gong 锅炉操作工
'guo'lu'fu'ji'zhi'ban'yuan 锅炉辅机值班员
'guo'lu'fu'shu'she'bei'jian'xiu'gong 锅炉附属设备检修工
'guo'lu'jiu'niang'zao'gong 果露酒酿造工
'guo'lu'she'bei'an'zhuang'gong 锅炉设备安装工
'guo'lu'she'bei'zhuang'pei'gong 锅炉设备装配工
'guo'lu'yun'xing'zhi'ban'yuan 锅炉运行值班员
'guo'lv'gong 过滤工
'hai'shang'jiu'zhu'da'lao'gong'cheng'ji'shu'ren'yuan 海上救助打捞工程技术人员
'hai'yan'cai'shou'gong 海盐采收工
'hai'yan'shai'zhi'gong 海盐晒制工
'hai'yang'ce'hui'gong'cheng'ji'shu'ren'yuan 海洋测绘工程技术人员
'hai'yang'di'zhi'qu'yang'gong 海洋地质取样工
'hai'yang'diao'cha'yu'jian'ce'gong 海洋调查与监测工
'hai'yang'diao'cha'yu'jian'ce'gong'cheng'ji'shu'ren'yuan 海洋调查与监测工程技术人员
'hai'yang'fu'biao'gong 海洋浮标工
'hai'yang'gong'cheng'kan'cha'she'ji'gong'cheng'ji'shu'ren'yuan 海洋工程勘察设计工程技术人员
'hai'yang'huan'jing'yu'bao'gong'cheng'ji'shu'ren'yuan 海洋环境预报工程技术人员
'hai'yang'shui'wen'qi'xiang'guan'ce'yuan 海洋水文气象观测员
'hai'yang'tu'zhi'shi'yan'gong 海洋土质试验工
'hai'yang'zi'yuan'kai'fa'li'yong'he'bao'hu'gong'cheng'ji'shu'ren'yuan 海洋资源开发利用和保护工程技术人员
'hai'zao'shi'pin'jia'gong'gong 海藻食品加工工
'hai'zao'zhi'chun'gong 海藻制醇工
'hai'zao'zhi'dian'gong 海藻制碘工
'hai'zao'zhi'jiao'gong 海藻制胶工
'han'gong 焊工
'han'guan'gong 焊管工
'han'shui'zha'yao'zhi'zao'gong 含水炸药制造工
'hang'dao'hang'wu'shi'gong'gong 航道航务施工工
'hang'kong'dian'ji'dian'qi'shi'yan'she'bei'tiao'shi'gong 航空电机电器试验设备调试工
'hang'kong'dian'qi'an'zhuang'tiao'shi'gong 航空电气安装调试工
'hang'kong'fa'dong'ji'jian'yan'gong 航空发动机检验工
'hang'kong'fa'dong'ji'shi'che'gong 航空发动机试车工
'hang'kong'fa'dong'ji'zhuang'pei'gong 航空发动机装配工
'hang'kong'huan'kong'jiu'sheng'zhuang'bei'jian'yan'gong 航空环控救生装备检验工
'hang'kong'huan'kong'jiu'sheng'zhuang'bei'shi'yan'gong 航空环控救生装备试验工
'hang'kong'qi'cai'yuan 航空器材员
'hang'kong'qi'xiang'yuan 航空气象员
'hang'kong'she'ying'yuan 航空摄影员
'hang'kong'tong'xin'lei'da'dao'hang'yuan 航空通信雷达导航员
'hang'kong'yi'biao 航空仪表
'hang'kong'yi'biao'shi'yan'gong 航空仪表试验工
'hang'kong'yi'biao'zhuang'pei'gong 航空仪表装配工
'hang'kong'you'liao'yuan 航空油料员
'hang'kong'yun'shu'di'mian'fu'wu'yuan 航空运输地面服务员
'hang'kong'yun'shu'fei'xing'fu'wu'yuan 航空运输飞行服务员
'hang'kong'yun'shu'gong'cheng'ji'shu'ren'yuan 航空运输工程技术人员
'hang'kong'zhuang'pei'ping'heng'gong 航空装配平衡工
'hang'tian'gong'cheng'ji'shu'ren'yuan 航天工程技术人员
'hang'tian'qi'cai'liao'xing'neng'ce'shi'yan'gong 航天器材料性能测试验工
'hang'tian'qi'huan'jing'shi'yan'gong 航天器环境试验工
'hang'tian'qi'jian'gao'wen'chu'li'gong 航天器件高温处理工
'hang'tian'qi'jie'gou'gao'di'wen'huan'jing'shi'yan'gong 航天器结构高低温环境试验工
'hang'tian'qi'jie'gou'qiang'du'huan'jing'shi'yan'gong 航天器结构强度环境试验工
